"","celltype"
"cell_46996","Mixed mesoderm"
"cell_46997","Surface ectoderm"
"cell_46998","PGC"
"cell_46999","ExE endoderm"
"cell_47000","Caudal Mesoderm"
"cell_47001","Nascent mesoderm"
"cell_47002",NA
"cell_47003","Blood progenitors 2"
"cell_47004","Visceral endoderm"
"cell_47005","Rostral neurectoderm"
"cell_47006","Rostral neurectoderm"
"cell_47007","Nascent mesoderm"
"cell_47008","Haematoendothelial progenitors"
"cell_47009",NA
"cell_47010","ExE ectoderm"
"cell_47011","Nascent mesoderm"
"cell_47012","Blood progenitors 1"
"cell_47013",NA
"cell_47014","Somitic mesoderm"
"cell_47015","Haematoendothelial progenitors"
"cell_47016","Def. endoderm"
"cell_47017","ExE endoderm"
"cell_47018","ExE endoderm"
"cell_47019","ExE endoderm"
"cell_47020","ExE endoderm"
"cell_47021","Nascent mesoderm"
"cell_47022","Caudal epiblast"
"cell_47023","ExE ectoderm"
"cell_47024","Nascent mesoderm"
"cell_47025","ExE endoderm"
"cell_47026","ExE endoderm"
"cell_47027","Mesenchyme"
"cell_47028","Nascent mesoderm"
"cell_47029","Epiblast"
"cell_47030","ExE ectoderm"
"cell_47031","Mixed mesoderm"
"cell_47032","Intermediate mesoderm"
"cell_47033",NA
"cell_47034","Mesenchyme"
"cell_47035","ExE ectoderm"
"cell_47036","ExE endoderm"
"cell_47037","ExE ectoderm"
"cell_47038","Primitive Streak"
"cell_47039","Blood progenitors 1"
"cell_47040","ExE endoderm"
"cell_47041","ExE endoderm"
"cell_47042",NA
"cell_47043","Rostral neurectoderm"
"cell_47044","Epiblast"
"cell_47045","Surface ectoderm"
"cell_47046",NA
"cell_47047","ExE ectoderm"
"cell_47048","ExE ectoderm"
"cell_47049","Caudal epiblast"
"cell_47050","Rostral neurectoderm"
"cell_47051","Blood progenitors 1"
"cell_47052","ExE ectoderm"
"cell_47053","ExE ectoderm"
"cell_47054",NA
"cell_47055","Nascent mesoderm"
"cell_47056","ExE ectoderm"
"cell_47057","ExE endoderm"
"cell_47058",NA
"cell_47059","Caudal epiblast"
"cell_47060","Nascent mesoderm"
"cell_47061","Nascent mesoderm"
"cell_47062",NA
"cell_47063",NA
"cell_47064","Epiblast"
"cell_47065","Mixed mesoderm"
"cell_47066","Visceral endoderm"
"cell_47067","Mixed mesoderm"
"cell_47068","ExE endoderm"
"cell_47069",NA
"cell_47070","ExE ectoderm"
"cell_47071","ExE ectoderm"
"cell_47072","ExE endoderm"
"cell_47073","ExE endoderm"
"cell_47074","ExE ectoderm"
"cell_47075","Mixed mesoderm"
"cell_47076","Anterior Primitive Streak"
"cell_47077","ExE endoderm"
"cell_47078",NA
"cell_47079","ExE endoderm"
"cell_47080","Caudal Mesoderm"
"cell_47081","Epiblast"
"cell_47082","Mesenchyme"
"cell_47083",NA
"cell_47084","Surface ectoderm"
"cell_47085","ExE endoderm"
"cell_47086","Intermediate mesoderm"
"cell_47087","ExE ectoderm"
"cell_47088","ExE endoderm"
"cell_47089","Caudal Mesoderm"
"cell_47090","ExE endoderm"
"cell_47091","ExE endoderm"
"cell_47092",NA
"cell_47093","Blood progenitors 2"
"cell_47094","ExE ectoderm"
"cell_47095","Caudal epiblast"
"cell_47096",NA
"cell_47097","Gut"
"cell_47098","Notochord"
"cell_47099","Visceral endoderm"
"cell_47100","ExE endoderm"
"cell_47101","ExE endoderm"
"cell_47102","Primitive Streak"
"cell_47103","Somitic mesoderm"
"cell_47104","Epiblast"
"cell_47105","ExE ectoderm"
"cell_47106","Caudal epiblast"
"cell_47107","Nascent mesoderm"
"cell_47108","Paraxial mesoderm"
"cell_47109","ExE endoderm"
"cell_47110","ExE ectoderm"
"cell_47111",NA
"cell_47112","ExE endoderm"
"cell_47113","Nascent mesoderm"
"cell_47114","ExE ectoderm"
"cell_47115","Rostral neurectoderm"
"cell_47116","ExE ectoderm"
"cell_47117","ExE ectoderm"
"cell_47118","Caudal epiblast"
"cell_47119","Epiblast"
"cell_47120","Rostral neurectoderm"
"cell_47121","Caudal epiblast"
"cell_47122","Primitive Streak"
"cell_47123",NA
"cell_47124","Caudal epiblast"
"cell_47125",NA
"cell_47126","Somitic mesoderm"
"cell_47127","Caudal neurectoderm"
"cell_47128","Blood progenitors 2"
"cell_47129",NA
"cell_47130","Epiblast"
"cell_47131","ExE ectoderm"
"cell_47132","Surface ectoderm"
"cell_47133","ExE endoderm"
"cell_47134","Primitive Streak"
"cell_47135","ExE endoderm"
"cell_47136",NA
"cell_47137","Visceral endoderm"
"cell_47138","ExE mesoderm"
"cell_47139","ExE endoderm"
"cell_47140","Epiblast"
"cell_47141","Primitive Streak"
"cell_47142","Def. endoderm"
"cell_47143","Notochord"
"cell_47144","Somitic mesoderm"
"cell_47145","Mixed mesoderm"
"cell_47146","Notochord"
"cell_47147",NA
"cell_47148","ExE endoderm"
"cell_47149","Mesenchyme"
"cell_47150","Nascent mesoderm"
"cell_47151","Blood progenitors 1"
"cell_47152","Mixed mesoderm"
"cell_47153","ExE ectoderm"
"cell_47154","ExE ectoderm"
"cell_47155","Haematoendothelial progenitors"
"cell_47156","Rostral neurectoderm"
"cell_47157","Gut"
"cell_47158","ExE mesoderm"
"cell_47159","Mesenchyme"
"cell_47160","Mesenchyme"
"cell_47161","ExE ectoderm"
"cell_47162","Blood progenitors 2"
"cell_47163","Primitive Streak"
"cell_47164","Epiblast"
"cell_47165","ExE ectoderm"
"cell_47166",NA
"cell_47167","Epiblast"
"cell_47168","Epiblast"
"cell_47169","Epiblast"
"cell_47170",NA
"cell_47171","ExE endoderm"
"cell_47172","ExE ectoderm"
"cell_47173",NA
"cell_47174","ExE mesoderm"
"cell_47175","Mixed mesoderm"
"cell_47176","ExE endoderm"
"cell_47177","Rostral neurectoderm"
"cell_47178","Def. endoderm"
"cell_47179","ExE ectoderm"
"cell_47180","Blood progenitors 2"
"cell_47181","Epiblast"
"cell_47182","Caudal Mesoderm"
"cell_47183","Intermediate mesoderm"
"cell_47184",NA
"cell_47185","Mesenchyme"
"cell_47186","Rostral neurectoderm"
"cell_47187",NA
"cell_47188","Mesenchyme"
"cell_47189",NA
"cell_47190","Rostral neurectoderm"
"cell_47191","Caudal neurectoderm"
"cell_47192","ExE ectoderm"
"cell_47193","ExE ectoderm"
"cell_47194","Pharyngeal mesoderm"
"cell_47195","ExE ectoderm"
"cell_47196","Rostral neurectoderm"
"cell_47197","ExE ectoderm"
"cell_47198","Def. endoderm"
"cell_47199","ExE ectoderm"
"cell_47200","ExE ectoderm"
"cell_47201","Nascent mesoderm"
"cell_47202","Rostral neurectoderm"
"cell_47203","Blood progenitors 2"
"cell_47204",NA
"cell_47205","Blood progenitors 2"
"cell_47206","Rostral neurectoderm"
"cell_47207","Primitive Streak"
"cell_47208",NA
"cell_47209","Nascent mesoderm"
"cell_47210","ExE endoderm"
"cell_47211","Epiblast"
"cell_47212","ExE endoderm"
"cell_47213","Rostral neurectoderm"
"cell_47214",NA
"cell_47215",NA
"cell_47216","ExE endoderm"
"cell_47217","Primitive Streak"
"cell_47218",NA
"cell_47219","Primitive Streak"
"cell_47220","ExE ectoderm"
"cell_47221","Gut"
"cell_47222","Blood progenitors 2"
"cell_47223","Paraxial mesoderm"
"cell_47224",NA
"cell_47225","Caudal epiblast"
"cell_47226","Epiblast"
"cell_47227","ExE mesoderm"
"cell_47228","Rostral neurectoderm"
"cell_47229","ExE endoderm"
"cell_47230",NA
"cell_47231","ExE ectoderm"
"cell_47232","Intermediate mesoderm"
"cell_47233",NA
"cell_47234","Visceral endoderm"
"cell_47235","ExE ectoderm"
"cell_47236","Blood progenitors 2"
"cell_47237","Nascent mesoderm"
"cell_47238",NA
"cell_47239","Pharyngeal mesoderm"
"cell_47240","ExE ectoderm"
"cell_47241","Rostral neurectoderm"
"cell_47242","Intermediate mesoderm"
"cell_47243","Rostral neurectoderm"
"cell_47244","Mesenchyme"
"cell_47245","Paraxial mesoderm"
"cell_47246","Mixed mesoderm"
"cell_47247",NA
"cell_47248","ExE ectoderm"
"cell_47249","ExE ectoderm"
"cell_47250","Visceral endoderm"
"cell_47251","ExE endoderm"
"cell_47252","Nascent mesoderm"
"cell_47253","ExE endoderm"
"cell_47254","Blood progenitors 2"
"cell_47255",NA
"cell_47256","ExE endoderm"
"cell_47257","ExE mesoderm"
"cell_47258","Rostral neurectoderm"
"cell_47259","Intermediate mesoderm"
"cell_47260","Epiblast"
"cell_47261","ExE endoderm"
"cell_47262","ExE ectoderm"
"cell_47263",NA
"cell_47264",NA
"cell_47265","Nascent mesoderm"
"cell_47266","Paraxial mesoderm"
"cell_47267","Caudal epiblast"
"cell_47268","Blood progenitors 2"
"cell_47269","Primitive Streak"
"cell_47270","ExE ectoderm"
"cell_47271","Visceral endoderm"
"cell_47272","ExE endoderm"
"cell_47273","Blood progenitors 2"
"cell_47274","Mesenchyme"
"cell_47275","Rostral neurectoderm"
"cell_47276","Epiblast"
"cell_47277","Rostral neurectoderm"
"cell_47278","Pharyngeal mesoderm"
"cell_47279","Nascent mesoderm"
"cell_47280","Mesenchyme"
"cell_47281","Caudal epiblast"
"cell_47282","Nascent mesoderm"
"cell_47283","ExE ectoderm"
"cell_47284","Mixed mesoderm"
"cell_47285","Intermediate mesoderm"
"cell_47286","Visceral endoderm"
"cell_47287","Primitive Streak"
"cell_47288","Caudal epiblast"
"cell_47289","ExE endoderm"
"cell_47290","ExE endoderm"
"cell_47291","Gut"
"cell_47292","Surface ectoderm"
"cell_47293","Blood progenitors 2"
"cell_47294","Primitive Streak"
"cell_47295","ExE ectoderm"
"cell_47296","ExE endoderm"
"cell_47297","Mesenchyme"
"cell_47298","Visceral endoderm"
"cell_47299","ExE ectoderm"
"cell_47300",NA
"cell_47301","Nascent mesoderm"
"cell_47302",NA
"cell_47303","Rostral neurectoderm"
"cell_47304",NA
"cell_47305","ExE endoderm"
"cell_47306","ExE endoderm"
"cell_47307","ExE endoderm"
"cell_47308","Mesenchyme"
"cell_47309","Visceral endoderm"
"cell_47310","ExE endoderm"
"cell_47311","Pharyngeal mesoderm"
"cell_47312","Intermediate mesoderm"
"cell_47313","Caudal epiblast"
"cell_47314","Visceral endoderm"
"cell_47315","ExE mesoderm"
"cell_47316","Epiblast"
"cell_47317",NA
"cell_47318","Epiblast"
"cell_47319","ExE ectoderm"
"cell_47320","Nascent mesoderm"
"cell_47321","Visceral endoderm"
"cell_47322",NA
"cell_47323","ExE ectoderm"
"cell_47324","ExE endoderm"
"cell_47325","Primitive Streak"
"cell_47326","ExE ectoderm"
"cell_47327",NA
"cell_47328","Primitive Streak"
"cell_47329","ExE ectoderm"
"cell_47330","ExE ectoderm"
"cell_47331","Caudal neurectoderm"
"cell_47332","Epiblast"
"cell_47333","Epiblast"
"cell_47334","Epiblast"
"cell_47335","ExE ectoderm"
"cell_47336","ExE endoderm"
"cell_47337","ExE ectoderm"
"cell_47338",NA
"cell_47339","Primitive Streak"
"cell_47340","Rostral neurectoderm"
"cell_47341","ExE ectoderm"
"cell_47342","ExE ectoderm"
"cell_47343","Primitive Streak"
"cell_47344","Epiblast"
"cell_47345","Rostral neurectoderm"
"cell_47346","Primitive Streak"
"cell_47347",NA
"cell_47348","ExE ectoderm"
"cell_47349",NA
"cell_47350","Nascent mesoderm"
"cell_47351","Nascent mesoderm"
"cell_47352","ExE endoderm"
"cell_47353","Mesenchyme"
"cell_47354",NA
"cell_47355","ExE ectoderm"
"cell_47356",NA
"cell_47357","Nascent mesoderm"
"cell_47358","Gut"
"cell_47359","Rostral neurectoderm"
"cell_47360","Visceral endoderm"
"cell_47361","Blood progenitors 1"
"cell_47362","Mixed mesoderm"
"cell_47363","Caudal epiblast"
"cell_47364","Surface ectoderm"
"cell_47365","Epiblast"
"cell_47366","ExE ectoderm"
"cell_47367","Intermediate mesoderm"
"cell_47368","Blood progenitors 1"
"cell_47369",NA
"cell_47370","ExE endoderm"
"cell_47371","Def. endoderm"
"cell_47372","ExE endoderm"
"cell_47373","ExE ectoderm"
"cell_47374","Blood progenitors 1"
"cell_47375",NA
"cell_47376","Blood progenitors 1"
"cell_47377","Nascent mesoderm"
"cell_47378","Rostral neurectoderm"
"cell_47379","ExE endoderm"
"cell_47380","Blood progenitors 2"
"cell_47381","Blood progenitors 2"
"cell_47382","Primitive Streak"
"cell_47383","ExE endoderm"
"cell_47384","ExE ectoderm"
"cell_47385","Mixed mesoderm"
"cell_47386","Def. endoderm"
"cell_47387","Caudal epiblast"
"cell_47388","ExE ectoderm"
"cell_47389","Caudal epiblast"
"cell_47390","ExE endoderm"
"cell_47391","Surface ectoderm"
"cell_47392","Rostral neurectoderm"
"cell_47393","Mesenchyme"
"cell_47394","Intermediate mesoderm"
"cell_47395","ExE ectoderm"
"cell_47396",NA
"cell_47397","Mixed mesoderm"
"cell_47398","Rostral neurectoderm"
"cell_47399","Mesenchyme"
"cell_47400","Rostral neurectoderm"
"cell_47401","Epiblast"
"cell_47402",NA
"cell_47403","Mixed mesoderm"
"cell_47404","Blood progenitors 2"
"cell_47405","ExE endoderm"
"cell_47406",NA
"cell_47407","Visceral endoderm"
"cell_47408","ExE endoderm"
"cell_47409","Blood progenitors 2"
"cell_47410","Epiblast"
"cell_47411",NA
"cell_47412","Primitive Streak"
"cell_47413",NA
"cell_47414","ExE mesoderm"
"cell_47415","Epiblast"
"cell_47416","Mixed mesoderm"
"cell_47417","Mesenchyme"
"cell_47418",NA
"cell_47419","Mesenchyme"
"cell_47420","Mixed mesoderm"
"cell_47421","Def. endoderm"
"cell_47422","Mesenchyme"
"cell_47423","Rostral neurectoderm"
"cell_47424","ExE ectoderm"
"cell_47425","Mixed mesoderm"
"cell_47426",NA
"cell_47427","Epiblast"
"cell_47428",NA
"cell_47429",NA
"cell_47430","Blood progenitors 2"
"cell_47431","ExE endoderm"
"cell_47432","ExE ectoderm"
"cell_47433","Primitive Streak"
"cell_47434","Intermediate mesoderm"
"cell_47435","Gut"
"cell_47436","Nascent mesoderm"
"cell_47437","Nascent mesoderm"
"cell_47438",NA
"cell_47439","Rostral neurectoderm"
"cell_47440","ExE endoderm"
"cell_47441","Intermediate mesoderm"
"cell_47442","Mixed mesoderm"
"cell_47443",NA
"cell_47444","Mesenchyme"
"cell_47445","ExE endoderm"
"cell_47446","Def. endoderm"
"cell_47447","Rostral neurectoderm"
"cell_47448","Rostral neurectoderm"
"cell_47449","Caudal Mesoderm"
"cell_47450","Rostral neurectoderm"
"cell_47451","ExE endoderm"
"cell_47452","Haematoendothelial progenitors"
"cell_47453","ExE endoderm"
"cell_47454","ExE endoderm"
"cell_47455","Epiblast"
"cell_47456","Mesenchyme"
"cell_47457","Nascent mesoderm"
"cell_47458","Epiblast"
"cell_47459","Rostral neurectoderm"
"cell_47460","ExE ectoderm"
"cell_47461","Pharyngeal mesoderm"
"cell_47462","Nascent mesoderm"
"cell_47463","Nascent mesoderm"
"cell_47464","ExE ectoderm"
"cell_47465","Blood progenitors 2"
"cell_47466","Haematoendothelial progenitors"
"cell_47467","Caudal epiblast"
"cell_47468","ExE endoderm"
"cell_47469","Rostral neurectoderm"
"cell_47470","Intermediate mesoderm"
"cell_47471",NA
"cell_47472","Anterior Primitive Streak"
"cell_47473","ExE ectoderm"
"cell_47474",NA
"cell_47475","Mixed mesoderm"
"cell_47476","ExE endoderm"
"cell_47477","ExE endoderm"
"cell_47478","ExE ectoderm"
"cell_47479","ExE ectoderm"
"cell_47480","Haematoendothelial progenitors"
"cell_47481",NA
"cell_47482","ExE endoderm"
"cell_47483",NA
"cell_47484","Mixed mesoderm"
"cell_47485",NA
"cell_47486","Intermediate mesoderm"
"cell_47487","ExE endoderm"
"cell_47488","ExE ectoderm"
"cell_47489","Epiblast"
"cell_47490","Caudal epiblast"
"cell_47491","Paraxial mesoderm"
"cell_47492",NA
"cell_47493","Mesenchyme"
"cell_47494","Haematoendothelial progenitors"
"cell_47495","Primitive Streak"
"cell_47496","Rostral neurectoderm"
"cell_47497","ExE ectoderm"
"cell_47498","Nascent mesoderm"
"cell_47499","Mixed mesoderm"
"cell_47500","Rostral neurectoderm"
"cell_47501","Nascent mesoderm"
"cell_47502","Haematoendothelial progenitors"
"cell_47503","Surface ectoderm"
"cell_47504","Intermediate mesoderm"
"cell_47505","Mixed mesoderm"
"cell_47506","ExE endoderm"
"cell_47507","ExE endoderm"
"cell_47508","Blood progenitors 1"
"cell_47509","Blood progenitors 2"
"cell_47510","Mesenchyme"
"cell_47511",NA
"cell_47512",NA
"cell_47513","ExE ectoderm"
"cell_47514","ExE endoderm"
"cell_47515","Primitive Streak"
"cell_47516","ExE mesoderm"
"cell_47517","ExE ectoderm"
"cell_47518","Mesenchyme"
"cell_47519","ExE endoderm"
"cell_47520","Caudal epiblast"
"cell_47521","Nascent mesoderm"
"cell_47522","Blood progenitors 1"
"cell_47523","ExE ectoderm"
"cell_47524","Haematoendothelial progenitors"
"cell_47525","ExE ectoderm"
"cell_47526","Surface ectoderm"
"cell_47527","ExE endoderm"
"cell_47528","Epiblast"
"cell_47529","ExE endoderm"
"cell_47530","Intermediate mesoderm"
"cell_47531","Haematoendothelial progenitors"
"cell_47532","Def. endoderm"
"cell_47533","Intermediate mesoderm"
"cell_47534","Notochord"
"cell_47535",NA
"cell_47536","ExE ectoderm"
"cell_47537","ExE ectoderm"
"cell_47538",NA
"cell_47539","Nascent mesoderm"
"cell_47540","Intermediate mesoderm"
"cell_47541","Rostral neurectoderm"
"cell_47542","Rostral neurectoderm"
"cell_47543","Rostral neurectoderm"
"cell_47544","Mesenchyme"
"cell_47545","ExE ectoderm"
"cell_47546",NA
"cell_47547",NA
"cell_47548","Mesenchyme"
"cell_47549","Epiblast"
"cell_47550",NA
"cell_47551","ExE ectoderm"
"cell_47552",NA
"cell_47553",NA
"cell_47554","ExE mesoderm"
"cell_47555","Epiblast"
"cell_47556","Gut"
"cell_47557",NA
"cell_47558","Primitive Streak"
"cell_47559","Caudal epiblast"
"cell_47560",NA
"cell_47561","Epiblast"
"cell_47562","Primitive Streak"
"cell_47563","Gut"
"cell_47564","ExE ectoderm"
"cell_47565","Nascent mesoderm"
"cell_47566","Epiblast"
"cell_47567","Surface ectoderm"
"cell_47568",NA
"cell_47569","ExE ectoderm"
"cell_47570","Epiblast"
"cell_47571","Mixed mesoderm"
"cell_47572","ExE endoderm"
"cell_47573",NA
"cell_47574","ExE ectoderm"
"cell_47575","ExE endoderm"
"cell_47576","Paraxial mesoderm"
"cell_47577","Mixed mesoderm"
"cell_47578",NA
"cell_47579","Blood progenitors 1"
"cell_47580","Intermediate mesoderm"
"cell_47581","ExE endoderm"
"cell_47582","Primitive Streak"
"cell_47583","Haematoendothelial progenitors"
"cell_47584","Gut"
"cell_47585","ExE ectoderm"
"cell_47586","ExE ectoderm"
"cell_47587","ExE ectoderm"
"cell_47588",NA
"cell_47589","ExE mesoderm"
"cell_47590",NA
"cell_47591","Gut"
"cell_47592","Blood progenitors 2"
"cell_47593","Rostral neurectoderm"
"cell_47594","ExE ectoderm"
"cell_47595","Pharyngeal mesoderm"
"cell_47596","Epiblast"
"cell_47597",NA
"cell_47598","Rostral neurectoderm"
"cell_47599","Nascent mesoderm"
"cell_47600","ExE endoderm"
"cell_47601","ExE ectoderm"
"cell_47602","Epiblast"
"cell_47603","ExE ectoderm"
"cell_47604","Pharyngeal mesoderm"
"cell_47605","PGC"
"cell_47606","Intermediate mesoderm"
"cell_47607","ExE endoderm"
"cell_47608","Nascent mesoderm"
"cell_47609","Blood progenitors 1"
"cell_47610","ExE ectoderm"
"cell_47611","Primitive Streak"
"cell_47612","Epiblast"
"cell_47613","ExE ectoderm"
"cell_47614","Rostral neurectoderm"
"cell_47615","ExE ectoderm"
"cell_47616","ExE endoderm"
"cell_47617","Rostral neurectoderm"
"cell_47618","Nascent mesoderm"
"cell_47619","Nascent mesoderm"
"cell_47620","Rostral neurectoderm"
"cell_47621","Blood progenitors 1"
"cell_47622","ExE ectoderm"
"cell_47623",NA
"cell_47624","Primitive Streak"
"cell_47625",NA
"cell_47626","ExE endoderm"
"cell_47627","Rostral neurectoderm"
"cell_47628","ExE ectoderm"
"cell_47629",NA
"cell_47630","ExE ectoderm"
"cell_47631","Gut"
"cell_47632","Mixed mesoderm"
"cell_47633",NA
"cell_47634",NA
"cell_47635","Rostral neurectoderm"
"cell_47636","Mesenchyme"
"cell_47637","Epiblast"
"cell_47638","ExE ectoderm"
"cell_47639",NA
"cell_47640","Mixed mesoderm"
"cell_47641","ExE endoderm"
"cell_47642","Blood progenitors 2"
"cell_47643","Blood progenitors 2"
"cell_47644","Rostral neurectoderm"
"cell_47645","Visceral endoderm"
"cell_47646","Blood progenitors 2"
"cell_47647","Mesenchyme"
"cell_47648","Mixed mesoderm"
"cell_47649",NA
"cell_47650","Mixed mesoderm"
"cell_47651","Rostral neurectoderm"
"cell_47652","ExE endoderm"
"cell_47653","PGC"
"cell_47654",NA
"cell_47655","Somitic mesoderm"
"cell_47656","Mesenchyme"
"cell_47657","Epiblast"
"cell_47658","ExE endoderm"
"cell_47659",NA
"cell_47660","ExE ectoderm"
"cell_47661","ExE endoderm"
"cell_47662","ExE ectoderm"
"cell_47663","Def. endoderm"
"cell_47664","ExE ectoderm"
"cell_47665","ExE ectoderm"
"cell_47666","Rostral neurectoderm"
"cell_47667","Rostral neurectoderm"
"cell_47668","ExE ectoderm"
"cell_47669","Blood progenitors 2"
"cell_47670","ExE ectoderm"
"cell_47671","Mixed mesoderm"
"cell_47672","Def. endoderm"
"cell_47673",NA
"cell_47674","ExE endoderm"
"cell_47675","Blood progenitors 1"
"cell_47676","Epiblast"
"cell_47677","ExE endoderm"
"cell_47678","ExE ectoderm"
"cell_47679","Primitive Streak"
"cell_47680",NA
"cell_47681","ExE endoderm"
"cell_47682","Mixed mesoderm"
"cell_47683","Blood progenitors 2"
"cell_47684","Nascent mesoderm"
"cell_47685","Mesenchyme"
"cell_47686","Epiblast"
"cell_47687","Rostral neurectoderm"
"cell_47688","Mixed mesoderm"
"cell_47689","Rostral neurectoderm"
"cell_47690","ExE endoderm"
"cell_47691",NA
"cell_47692","ExE endoderm"
"cell_47693","Epiblast"
"cell_47694","ExE endoderm"
"cell_47695",NA
"cell_47696","Somitic mesoderm"
"cell_47697",NA
"cell_47698","ExE endoderm"
"cell_47699","Caudal epiblast"
"cell_47700","Rostral neurectoderm"
"cell_47701","Mesenchyme"
"cell_47702","Def. endoderm"
"cell_47703","Epiblast"
"cell_47704","Caudal epiblast"
"cell_47705","Mixed mesoderm"
"cell_47706","Haematoendothelial progenitors"
"cell_47707","Rostral neurectoderm"
"cell_47708","Nascent mesoderm"
"cell_47709","Rostral neurectoderm"
"cell_47710","ExE endoderm"
"cell_47711","Haematoendothelial progenitors"
"cell_47712","Nascent mesoderm"
"cell_47713","Blood progenitors 2"
"cell_47714",NA
"cell_47715",NA
"cell_47716","Mixed mesoderm"
"cell_47717","Nascent mesoderm"
"cell_47718",NA
"cell_47719","Haematoendothelial progenitors"
"cell_47720","Epiblast"
"cell_47721",NA
"cell_47722",NA
"cell_47723","ExE endoderm"
"cell_47724","Nascent mesoderm"
"cell_47725","Blood progenitors 2"
"cell_47726","Primitive Streak"
"cell_47727","Rostral neurectoderm"
"cell_47728","ExE ectoderm"
"cell_47729",NA
"cell_47730","Mesenchyme"
"cell_47731",NA
"cell_47732",NA
"cell_47733","Rostral neurectoderm"
"cell_47734","Nascent mesoderm"
"cell_47735",NA
"cell_47736","Nascent mesoderm"
"cell_47737","Anterior Primitive Streak"
"cell_47738","Blood progenitors 1"
"cell_47739","Epiblast"
"cell_47740","ExE endoderm"
"cell_47741","Mixed mesoderm"
"cell_47742","Nascent mesoderm"
"cell_47743","Blood progenitors 2"
"cell_47744","Caudal epiblast"
"cell_47745","Haematoendothelial progenitors"
"cell_47746","ExE endoderm"
"cell_47747",NA
"cell_47748","Epiblast"
"cell_47749","ExE ectoderm"
"cell_47750","Intermediate mesoderm"
"cell_47751",NA
"cell_47752","Gut"
"cell_47753",NA
"cell_47754","Visceral endoderm"
"cell_47755",NA
"cell_47756","Epiblast"
"cell_47757","Blood progenitors 2"
"cell_47758","Epiblast"
"cell_47759","Gut"
"cell_47760",NA
"cell_47761","Rostral neurectoderm"
"cell_47762","Rostral neurectoderm"
"cell_47763","Rostral neurectoderm"
"cell_47764","ExE ectoderm"
"cell_47765","Visceral endoderm"
"cell_47766","ExE ectoderm"
"cell_47767","ExE ectoderm"
"cell_47768","Mixed mesoderm"
"cell_47769","Def. endoderm"
"cell_47770","Rostral neurectoderm"
"cell_47771",NA
"cell_47772","ExE ectoderm"
"cell_47773","Mesenchyme"
"cell_47774","Mixed mesoderm"
"cell_47775","Epiblast"
"cell_47776","ExE endoderm"
"cell_47777","ExE endoderm"
"cell_47778","Caudal epiblast"
"cell_47779","ExE endoderm"
"cell_47780","Haematoendothelial progenitors"
"cell_47781",NA
"cell_47782","ExE ectoderm"
"cell_47783","Gut"
"cell_47784","Haematoendothelial progenitors"
"cell_47785","Caudal epiblast"
"cell_47786","ExE ectoderm"
"cell_47787","Epiblast"
"cell_47788","Mixed mesoderm"
"cell_47789","ExE ectoderm"
"cell_47790","Caudal epiblast"
"cell_47791","Mesenchyme"
"cell_47792","ExE endoderm"
"cell_47793",NA
"cell_47794","Nascent mesoderm"
"cell_47795","ExE ectoderm"
"cell_47796",NA
"cell_47797","ExE ectoderm"
"cell_47798","Rostral neurectoderm"
"cell_47799","ExE endoderm"
"cell_47800",NA
"cell_47801","Rostral neurectoderm"
"cell_47802","PGC"
"cell_47803","ExE ectoderm"
"cell_47804","Mesenchyme"
"cell_47805","Nascent mesoderm"
"cell_47806","Caudal Mesoderm"
"cell_47807",NA
"cell_47808","Caudal epiblast"
"cell_47809","Blood progenitors 2"
"cell_47810","Mesenchyme"
"cell_47811","Rostral neurectoderm"
"cell_47812","Mesenchyme"
"cell_47813","Rostral neurectoderm"
"cell_47814","Epiblast"
"cell_47815","Mesenchyme"
"cell_47816",NA
"cell_47817","Surface ectoderm"
"cell_47818","Caudal epiblast"
"cell_47819","Anterior Primitive Streak"
"cell_47820",NA
"cell_47821","ExE ectoderm"
"cell_47822","Rostral neurectoderm"
"cell_47823","Epiblast"
"cell_47824","Mixed mesoderm"
"cell_47825","ExE endoderm"
"cell_47826","PGC"
"cell_47827",NA
"cell_47828","ExE ectoderm"
"cell_47829","ExE endoderm"
"cell_47830",NA
"cell_47831","Mixed mesoderm"
"cell_47832","ExE endoderm"
"cell_47833","Gut"
"cell_47834","Visceral endoderm"
"cell_47835","Intermediate mesoderm"
"cell_47836","Def. endoderm"
"cell_47837",NA
"cell_47838","Mesenchyme"
"cell_47839","Rostral neurectoderm"
"cell_47840","Epiblast"
"cell_47841","ExE ectoderm"
"cell_47842","Epiblast"
"cell_47843","Rostral neurectoderm"
"cell_47844","Paraxial mesoderm"
"cell_47845",NA
"cell_47846",NA
"cell_47847","Caudal epiblast"
"cell_47848","Rostral neurectoderm"
"cell_47849",NA
"cell_47850","ExE endoderm"
"cell_47851","Caudal neurectoderm"
"cell_47852","ExE ectoderm"
"cell_47853","Blood progenitors 1"
"cell_47854","Mixed mesoderm"
"cell_47855","ExE endoderm"
"cell_47856","Mesenchyme"
"cell_47857","ExE ectoderm"
"cell_47858","ExE ectoderm"
"cell_47859","ExE endoderm"
"cell_47860","Rostral neurectoderm"
"cell_47861","Mixed mesoderm"
"cell_47862",NA
"cell_47863","ExE endoderm"
"cell_47864",NA
"cell_47865","Primitive Streak"
"cell_47866","Blood progenitors 2"
"cell_47867","Somitic mesoderm"
"cell_47868","Visceral endoderm"
"cell_47869","ExE endoderm"
"cell_47870",NA
"cell_47871",NA
"cell_47872","Mesenchyme"
"cell_47873","ExE endoderm"
