"","celltype"
"cell_43835",NA
"cell_43836","ExE ectoderm"
"cell_43837","Caudal Mesoderm"
"cell_43838","Blood progenitors 1"
"cell_43839","Rostral neurectoderm"
"cell_43840","ExE ectoderm"
"cell_43841",NA
"cell_43842","Somitic mesoderm"
"cell_43843","Mesenchyme"
"cell_43844","ExE endoderm"
"cell_43845","ExE ectoderm"
"cell_43846","Nascent mesoderm"
"cell_43847","ExE ectoderm"
"cell_43848","ExE ectoderm"
"cell_43849","Caudal neurectoderm"
"cell_43850","Primitive Streak"
"cell_43851","Rostral neurectoderm"
"cell_43852","Nascent mesoderm"
"cell_43853","ExE ectoderm"
"cell_43854","Def. endoderm"
"cell_43855","Caudal epiblast"
"cell_43856","Nascent mesoderm"
"cell_43857","Rostral neurectoderm"
"cell_43858",NA
"cell_43859",NA
"cell_43860","ExE ectoderm"
"cell_43861","Mixed mesoderm"
"cell_43862","ExE ectoderm"
"cell_43863","Def. endoderm"
"cell_43864","ExE ectoderm"
"cell_43865","ExE ectoderm"
"cell_43866","Mixed mesoderm"
"cell_43867","Rostral neurectoderm"
"cell_43868","Mesenchyme"
"cell_43869","Blood progenitors 1"
"cell_43870","ExE ectoderm"
"cell_43871","Primitive Streak"
"cell_43872",NA
"cell_43873","Nascent mesoderm"
"cell_43874","ExE endoderm"
"cell_43875","Nascent mesoderm"
"cell_43876","ExE endoderm"
"cell_43877","Rostral neurectoderm"
"cell_43878","Mixed mesoderm"
"cell_43879","ExE ectoderm"
"cell_43880","ExE endoderm"
"cell_43881","Mixed mesoderm"
"cell_43882","Intermediate mesoderm"
"cell_43883","PGC"
"cell_43884","Primitive Streak"
"cell_43885","Blood progenitors 1"
"cell_43886","Rostral neurectoderm"
"cell_43887","Gut"
"cell_43888","Intermediate mesoderm"
"cell_43889","Caudal Mesoderm"
"cell_43890","Primitive Streak"
"cell_43891","ExE ectoderm"
"cell_43892",NA
"cell_43893","ExE endoderm"
"cell_43894","Mesenchyme"
"cell_43895","Visceral endoderm"
"cell_43896","ExE ectoderm"
"cell_43897","Epiblast"
"cell_43898","Nascent mesoderm"
"cell_43899","Anterior Primitive Streak"
"cell_43900","ExE endoderm"
"cell_43901","Visceral endoderm"
"cell_43902","Rostral neurectoderm"
"cell_43903","ExE endoderm"
"cell_43904","ExE ectoderm"
"cell_43905","Epiblast"
"cell_43906","Mesenchyme"
"cell_43907","Rostral neurectoderm"
"cell_43908","Mesenchyme"
"cell_43909","Def. endoderm"
"cell_43910","ExE ectoderm"
"cell_43911","Rostral neurectoderm"
"cell_43912","Caudal epiblast"
"cell_43913",NA
"cell_43914","PGC"
"cell_43915","Surface ectoderm"
"cell_43916","Nascent mesoderm"
"cell_43917","ExE ectoderm"
"cell_43918","Visceral endoderm"
"cell_43919","ExE ectoderm"
"cell_43920","Nascent mesoderm"
"cell_43921","ExE endoderm"
"cell_43922","ExE endoderm"
"cell_43923","Rostral neurectoderm"
"cell_43924","Nascent mesoderm"
"cell_43925","Rostral neurectoderm"
"cell_43926","ExE endoderm"
"cell_43927","Primitive Streak"
"cell_43928","Mixed mesoderm"
"cell_43929","Def. endoderm"
"cell_43930","Epiblast"
"cell_43931","ExE endoderm"
"cell_43932",NA
"cell_43933","ExE ectoderm"
"cell_43934",NA
"cell_43935","Mixed mesoderm"
"cell_43936","Primitive Streak"
"cell_43937",NA
"cell_43938","ExE ectoderm"
"cell_43939","ExE ectoderm"
"cell_43940","ExE ectoderm"
"cell_43941","Primitive Streak"
"cell_43942","ExE endoderm"
"cell_43943","ExE ectoderm"
"cell_43944","ExE endoderm"
"cell_43945","Mesenchyme"
"cell_43946","Caudal epiblast"
"cell_43947","Rostral neurectoderm"
"cell_43948",NA
"cell_43949","Rostral neurectoderm"
"cell_43950","ExE endoderm"
"cell_43951","Mesenchyme"
"cell_43952","ExE endoderm"
"cell_43953","ExE endoderm"
"cell_43954","Caudal epiblast"
"cell_43955","Def. endoderm"
"cell_43956",NA
"cell_43957","ExE endoderm"
"cell_43958","ExE ectoderm"
"cell_43959","ExE ectoderm"
"cell_43960","ExE ectoderm"
"cell_43961","Visceral endoderm"
"cell_43962","ExE ectoderm"
"cell_43963","ExE ectoderm"
"cell_43964",NA
"cell_43965","PGC"
"cell_43966","Mixed mesoderm"
"cell_43967","ExE endoderm"
"cell_43968","Visceral endoderm"
"cell_43969","Primitive Streak"
"cell_43970","Surface ectoderm"
"cell_43971","ExE mesoderm"
"cell_43972","Nascent mesoderm"
"cell_43973","Epiblast"
"cell_43974","Nascent mesoderm"
"cell_43975","ExE mesoderm"
"cell_43976","Blood progenitors 2"
"cell_43977","Epiblast"
"cell_43978",NA
"cell_43979","Nascent mesoderm"
"cell_43980","ExE mesoderm"
"cell_43981",NA
"cell_43982","Epiblast"
"cell_43983","ExE ectoderm"
"cell_43984","Visceral endoderm"
"cell_43985","Blood progenitors 2"
"cell_43986","Def. endoderm"
"cell_43987","Visceral endoderm"
"cell_43988","ExE mesoderm"
"cell_43989","Primitive Streak"
"cell_43990","Def. endoderm"
"cell_43991","ExE ectoderm"
"cell_43992","ExE endoderm"
"cell_43993",NA
"cell_43994","Mesenchyme"
"cell_43995","Mixed mesoderm"
"cell_43996","Epiblast"
"cell_43997","ExE ectoderm"
"cell_43998","ExE mesoderm"
"cell_43999","Primitive Streak"
"cell_44000","ExE endoderm"
"cell_44001","Epiblast"
"cell_44002","Surface ectoderm"
"cell_44003","Blood progenitors 2"
"cell_44004","Epiblast"
"cell_44005","Blood progenitors 1"
"cell_44006","Caudal epiblast"
"cell_44007","ExE ectoderm"
"cell_44008",NA
"cell_44009","Haematoendothelial progenitors"
"cell_44010","Rostral neurectoderm"
"cell_44011","Epiblast"
"cell_44012","ExE endoderm"
"cell_44013","Rostral neurectoderm"
"cell_44014","Mesenchyme"
"cell_44015","ExE ectoderm"
"cell_44016","Caudal epiblast"
"cell_44017","Mesenchyme"
"cell_44018","Epiblast"
"cell_44019","Surface ectoderm"
"cell_44020","Primitive Streak"
"cell_44021","ExE ectoderm"
"cell_44022",NA
"cell_44023",NA
"cell_44024",NA
"cell_44025","Mixed mesoderm"
"cell_44026","Mixed mesoderm"
"cell_44027",NA
"cell_44028","Caudal neurectoderm"
"cell_44029",NA
"cell_44030","Blood progenitors 2"
"cell_44031","Rostral neurectoderm"
"cell_44032","Nascent mesoderm"
"cell_44033","ExE ectoderm"
"cell_44034","ExE ectoderm"
"cell_44035","ExE endoderm"
"cell_44036","ExE ectoderm"
"cell_44037","ExE ectoderm"
"cell_44038","PGC"
"cell_44039","Mesenchyme"
"cell_44040","Epiblast"
"cell_44041","ExE endoderm"
"cell_44042","Visceral endoderm"
"cell_44043","ExE ectoderm"
"cell_44044","ExE ectoderm"
"cell_44045","Primitive Streak"
"cell_44046","Rostral neurectoderm"
"cell_44047","Nascent mesoderm"
"cell_44048","Epiblast"
"cell_44049","Somitic mesoderm"
"cell_44050",NA
"cell_44051",NA
"cell_44052","Mixed mesoderm"
"cell_44053","Haematoendothelial progenitors"
"cell_44054","ExE endoderm"
"cell_44055","Primitive Streak"
"cell_44056","Intermediate mesoderm"
"cell_44057","Gut"
"cell_44058","Nascent mesoderm"
"cell_44059","Somitic mesoderm"
"cell_44060","Nascent mesoderm"
"cell_44061",NA
"cell_44062","Pharyngeal mesoderm"
"cell_44063","Caudal epiblast"
"cell_44064","ExE ectoderm"
"cell_44065",NA
"cell_44066","Primitive Streak"
"cell_44067",NA
"cell_44068","Mixed mesoderm"
"cell_44069","ExE ectoderm"
"cell_44070",NA
"cell_44071","Rostral neurectoderm"
