"","ENSEMBL","SYMBOL"
"ENSMUSG00000060212","ENSMUSG00000060212","Pcnx2"
"ENSMUSG00000100812","ENSMUSG00000100812","A730098A19Rik"
"ENSMUSG00000031853","ENSMUSG00000031853","Map3k21"
"ENSMUSG00000033998","ENSMUSG00000033998","Kcnk1"
"ENSMUSG00000110698","ENSMUSG00000110698","Gm45875"
"ENSMUSG00000057060","ENSMUSG00000057060","Slc35f3"
"ENSMUSG00000051671","ENSMUSG00000051671","Coa6"
"ENSMUSG00000090290","ENSMUSG00000090290","Tarbp1"
"ENSMUSG00000097060","ENSMUSG00000097060","Gm26759"
"ENSMUSG00000051495","ENSMUSG00000051495","Irf2bp2"
"ENSMUSG00000110626","ENSMUSG00000110626","Gm45805"
"ENSMUSG00000110697","ENSMUSG00000110697","Gm45802"
"ENSMUSG00000110498","ENSMUSG00000110498","Gm45803"
"ENSMUSG00000093904","ENSMUSG00000093904","Tomm20"
"ENSMUSG00000033931","ENSMUSG00000033931","Rbm34"
"ENSMUSG00000025812","ENSMUSG00000025812","Pard3"
"ENSMUSG00000025810","ENSMUSG00000025810","Nrp1"
"ENSMUSG00000025809","ENSMUSG00000025809","Itgb1"
"ENSMUSG00000025808","ENSMUSG00000025808","Ccdc7a"
"ENSMUSG00000102141","ENSMUSG00000102141","Gm3952"
"ENSMUSG00000056018","ENSMUSG00000056018","Ccdc7b"
"ENSMUSG00000078840","ENSMUSG00000078840","Gm10999"
"ENSMUSG00000071302","ENSMUSG00000071302","2610044O15Rik8"
"ENSMUSG00000110605","ENSMUSG00000110605","Gm32856"
"ENSMUSG00000090487","ENSMUSG00000090487","Gm2888"
"ENSMUSG00000079410","ENSMUSG00000079410","Gm2897"
"ENSMUSG00000071613","ENSMUSG00000071613","Gm10340"
"ENSMUSG00000079409","ENSMUSG00000079409","Gm5795"
"ENSMUSG00000096039","ENSMUSG00000096039","D830030K20Rik"
"ENSMUSG00000079407","ENSMUSG00000079407","1700110I01Rik"
"ENSMUSG00000096574","ENSMUSG00000096574","Gm2956"
"ENSMUSG00000095533","ENSMUSG00000095533","Gm10413"
"ENSMUSG00000096488","ENSMUSG00000096488","Gm10409"
"ENSMUSG00000095195","ENSMUSG00000095195","Gm3005"
"ENSMUSG00000072739","ENSMUSG00000072739","Gm10408"
"ENSMUSG00000095368","ENSMUSG00000095368","Gm3012"
"ENSMUSG00000079402","ENSMUSG00000079402","Gm3020"
"ENSMUSG00000090364","ENSMUSG00000090364","Gm3043"
"ENSMUSG00000096793","ENSMUSG00000096793","Gm3002"
"ENSMUSG00000093887","ENSMUSG00000093887","Gm3033"
"ENSMUSG00000096218","ENSMUSG00000096218","Gm2916"
"ENSMUSG00000096901","ENSMUSG00000096901","Gm3029"
"ENSMUSG00000091756","ENSMUSG00000091756","Gm3095"
"ENSMUSG00000095686","ENSMUSG00000095686","Gm3099"
"ENSMUSG00000096775","ENSMUSG00000096775","Gm5796"
"ENSMUSG00000091022","ENSMUSG00000091022","Gm3115"
"ENSMUSG00000091563","ENSMUSG00000091563","Gm8108"
"ENSMUSG00000090764","ENSMUSG00000090764","Gm3127"
"ENSMUSG00000079391","ENSMUSG00000079391","Gm2974"
"ENSMUSG00000091114","ENSMUSG00000091114","Gm3138"
"ENSMUSG00000079389","ENSMUSG00000079389","Gm3149"
"ENSMUSG00000079388","ENSMUSG00000079388","2610042L04Rik"
"ENSMUSG00000095056","ENSMUSG00000095056","Gm3159"
"ENSMUSG00000091418","ENSMUSG00000091418","Gm3164"
"ENSMUSG00000079386","ENSMUSG00000079386","Gm3173"
"ENSMUSG00000091148","ENSMUSG00000091148","Gm3182"
"ENSMUSG00000090472","ENSMUSG00000090472","Gm3047"
"ENSMUSG00000094258","ENSMUSG00000094258","Gm8159"
"ENSMUSG00000090872","ENSMUSG00000090872","Gm3239"
"ENSMUSG00000091700","ENSMUSG00000091700","Gm7876"
"ENSMUSG00000094628","ENSMUSG00000094628","Gm3252"
"ENSMUSG00000090539","ENSMUSG00000090539","Gm9602"
"ENSMUSG00000091494","ENSMUSG00000091494","Gm3269"
"ENSMUSG00000094132","ENSMUSG00000094132","Gm3264"
"ENSMUSG00000091185","ENSMUSG00000091185","Gm3278"
"ENSMUSG00000090827","ENSMUSG00000090827","Gm8297"
"ENSMUSG00000079383","ENSMUSG00000079383","Gm3298"
"ENSMUSG00000096197","ENSMUSG00000096197","4930555G01Rik"
"ENSMUSG00000095681","ENSMUSG00000095681","Gm8281"
"ENSMUSG00000079378","ENSMUSG00000079378","Gm8279"
"ENSMUSG00000095912","ENSMUSG00000095912","Gm3317"
"ENSMUSG00000079380","ENSMUSG00000079380","Gm8271"
"ENSMUSG00000094929","ENSMUSG00000094929","Gm3526"
"ENSMUSG00000096023","ENSMUSG00000096023","Gm3542"
"ENSMUSG00000096003","ENSMUSG00000096003","Gm3500"
"ENSMUSG00000094825","ENSMUSG00000094825","Gm3194"
"ENSMUSG00000095797","ENSMUSG00000095797","Gm8246"
"ENSMUSG00000094578","ENSMUSG00000094578","Gm3187"
"ENSMUSG00000095295","ENSMUSG00000095295","Gm3488"
"ENSMUSG00000097853","ENSMUSG00000097853","Gm3532"
"ENSMUSG00000096629","ENSMUSG00000096629","Gm3383"
"ENSMUSG00000090547","ENSMUSG00000090547","Gm8265"
"ENSMUSG00000096470","ENSMUSG00000096470","Gm9603"
"ENSMUSG00000094370","ENSMUSG00000094370","Gm3373"
"ENSMUSG00000090512","ENSMUSG00000090512","Gm3424"
"ENSMUSG00000090707","ENSMUSG00000090707","Gm8237"
